action,search_n_nodes,search_depth,n_calls,n_call_dict,n_sol,env_name,seed
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
1,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
4,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
2,2286,3,2532.0,"{0: 0, 1: 90, 2: 2441, 3: 1}",1,Env4D0,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
4,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
4,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
4,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
4,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
4,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
4,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
3,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
2,22292,3,23622.0,"{0: 0, 1: 201, 2: 23420, 3: 1}",1,Env4D1,0
1,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
1,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
1,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
1,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
4,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
4,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
4,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
1,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
1,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
3,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
2,256,2,177.05194805194805,"{0: 0, 1: 176, 2: 81}",77,Env5D0,0
1,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
1,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
1,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
1,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
4,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
2,490,2,333.41818181818184,"{0: 0, 1: 332, 2: 156}",110,Env5D1,0
